round,scenario,status,ok,elapsedMs,error,handler,station_query,station_lookup,graph_load,dijkstra,schedule_catalog,schedule_query,schedule_format
1,"station-list",200,true,455.435,"",154.776,117.234,"","","","","",""
1,"station-search",200,true,117.252,"",67.863,66.307,"","","","","",""
1,"route-direct",200,true,564.528,"",513.759,"",157.416,343.341,2.062,"","",""
1,"route-interchange",200,true,338.936,"",234.523,"",9.201,223.665,0.187,"","",""
1,"route-walking",200,true,424.32,"",276.275,"",8.455,266.649,0.25,"","",""
1,"schedule-krl",200,true,1961.457,"",1854.207,"","","","",19.894,725.148,1107.471
2,"station-list",200,true,205.912,"",63.889,62.996,"","","","","",""
2,"station-search",200,true,129.138,"",49.365,48.595,"","","","","",""
2,"route-direct",200,true,426.594,"",316.344,"",16.279,298.613,0.402,"","",""
2,"route-interchange",200,true,511.772,"",395.982,"",9.401,385.307,0.199,"","",""
2,"route-walking",200,true,826.417,"",590.13,"",30.6,557.87,0.28,"","",""
2,"schedule-krl",200,true,1084.366,"",859.444,"","","","",14.156,238.178,606.2
3,"station-list",200,true,115.115,"",56.149,55.337,"","","","","",""
3,"station-search",200,true,94.408,"",40.429,39.687,"","","","","",""
3,"route-direct",200,true,372.445,"",234.347,"",17.589,215.319,0.427,"","",""
3,"route-interchange",200,true,486.821,"",252.696,"",11.304,240.166,0.194,"","",""
3,"route-walking",200,true,535.041,"",255.558,"",11.919,242.287,0.348,"","",""
3,"schedule-krl",200,true,956.874,"",815.215,"","","","",12.257,200.251,601.892
4,"station-list",200,true,104.851,"",59.709,58.788,"","","","","",""
4,"station-search",200,true,121.958,"",23.644,23.07,"","","","","",""
4,"route-direct",200,true,269.085,"",217.274,"",8.04,208.063,0.201,"","",""
4,"route-interchange",200,true,293.117,"",252.365,"",8.138,243.195,0.127,"","",""
4,"route-walking",200,true,412.627,"",240.727,"",10.034,229.453,0.264,"","",""
4,"schedule-krl",200,true,1044.951,"",815.102,"","","","",7.856,217.391,589.018
5,"station-list",200,true,109.21,"",64.987,63.935,"","","","","",""
5,"station-search",200,true,91.391,"",45.084,44.32,"","","","","",""
5,"route-direct",200,true,459.337,"",351.616,"",14.152,333.43,0.293,"","",""
5,"route-interchange",200,true,306.429,"",171.294,"",8.233,161.381,0.699,"","",""
5,"route-walking",200,true,324.546,"",150.869,"",8.432,141.62,0.098,"","",""
5,"schedule-krl",200,true,735.248,"",632.93,"","","","",11.078,139.126,481.918
