round,scenario,status,ok,elapsedMs,error,handler,station_query,station_lookup,graph_load,dijkstra,schedule_catalog,schedule_query,schedule_format
1,"station-list",200,true,303.419,"",69.369,68.001,"","","","","",""
1,"station-search",200,true,91.119,"",43.907,43.02,"","","","","",""
1,"route-direct",200,true,671.158,"",329.754,"",14.731,313.738,0.283,"","",""
1,"route-interchange",200,true,335.298,"",252.281,"",11.268,239.837,0.267,"","",""
1,"route-walking",200,true,631.971,"",296.102,"",29.321,265.767,0.193,"","",""
1,"schedule-krl",200,true,912.407,"",766.896,"","","","",12.059,180.884,573.203
2,"station-list",200,true,160.138,"",37.095,36.148,"","","","","",""
2,"station-search",200,true,69.911,"",27.004,26.078,"","","","","",""
2,"route-direct",200,true,461.544,"",405.838,"",16.37,388.194,0.344,"","",""
2,"route-interchange",200,true,324.029,"",241.402,"",8.638,146.537,85.37,"","",""
2,"route-walking",200,true,444.753,"",200.052,"",8.176,190.926,0.336,"","",""
2,"schedule-krl",200,true,1009.547,"",847.236,"","","","",6.839,157.595,682.142
3,"station-list",200,true,214.874,"",55.77,54.102,"","","","","",""
3,"station-search",200,true,130.149,"",45.553,44.838,"","","","","",""
3,"route-direct",200,true,414.954,"",267.662,"",14.461,252.146,0.309,"","",""
3,"route-interchange",200,true,290.715,"",156.526,"",9.039,146.675,0.141,"","",""
3,"route-walking",200,true,354.596,"",239.07,"",10.753,227.473,0.127,"","",""
3,"schedule-krl",200,true,1056.802,"",883.307,"","","","",7.57,187.401,687.613
4,"station-list",200,true,107.753,"",34.658,33.805,"","","","","",""
4,"station-search",200,true,108.338,"",23.705,23.022,"","","","","",""
4,"route-direct",200,true,386.695,"",292.183,"",11.441,279.586,0.246,"","",""
4,"route-interchange",200,true,375.447,"",268.632,"",8.97,258.713,0.108,"","",""
4,"route-walking",200,true,364.962,"",316.934,"",12.415,303.508,0.157,"","",""
4,"schedule-krl",200,true,617.802,"",558.558,"","","","",6.439,142.171,409.356
5,"station-list",200,true,86.456,"",34.081,33.4,"","","","","",""
5,"station-search",200,true,86.231,"",28.994,28.336,"","","","","",""
5,"route-direct",200,true,292.731,"",237.443,"",15.594,220.776,0.193,"","",""
5,"route-interchange",200,true,365.483,"",320.665,"",9.162,310.535,0.14,"","",""
5,"route-walking",200,true,440.566,"",232.296,"",8.356,223.07,0.13,"","",""
5,"schedule-krl",200,true,1223.923,"",1073.256,"","","","",14.069,257.413,800.954
