"round","scenario","target","parameters","status","ok","elapsedMs","error","handler","station_query","station_lookup","graph_load","dijkstra","route_format","schedule_catalog","schedule_query","schedule_format"
"1","station-list","/stations?page=1&limit=40","","200","true","250.803","","11.916","0.958","","","","","","",""
"1","station-search","/stations/search?q=mang&limit=20","","200","true","50.526","","2.066","0.583","","","","","","",""
"1","route-direct","/routes/plan","{""from"":""bogor"",""to"":""jakarta-kota"",""passengerCount"":1,""preference"":""FASTEST""}","200","true","128.633","","21.79","","0.248","0.008","1.908","0.238","","",""
"1","route-interchange","/routes/plan","{""from"":""cikini"",""to"":""bni-city"",""passengerCount"":1,""preference"":""FASTEST""}","200","true","110.846","","1.714","","0.136","0.005","0.161","0.059","","",""
"1","route-walking","/routes/plan","{""from"":""cikoko"",""to"":""tebet"",""passengerCount"":1,""preference"":""FASTEST""}","200","true","106.994","","2.005","","0.309","0.007","0.259","0.05","","",""
"1","schedule-krl","/schedules?station=Manggarai&trainType=KRL&isWeekend=false&page=1&limit=40","","200","true","114.201","","2.605","","","","","","0.186","0.345",""
"2","station-list","/stations?page=2&limit=40","","200","true","235.219","","1.137","0.379","","","","","","",""
"2","station-search","/stations/search?q=bog&limit=20","","200","true","101.243","","1.239","0.338","","","","","","",""
"2","route-direct","/routes/plan","{""from"":""depok"",""to"":""jayakarta"",""passengerCount"":2,""preference"":""FASTEST""}","200","true","118.136","","2.579","","0.461","0.009","0.359","0.138","","",""
"2","route-interchange","/routes/plan","{""from"":""bogor"",""to"":""tangerang"",""passengerCount"":2,""preference"":""MIN_TRANSFERS""}","200","true","61.53","","2.265","","0.249","0.005","0.594","0.163","","",""
"2","route-walking","/routes/plan","{""from"":""dukuh-atas"",""to"":""cawang"",""passengerCount"":1,""preference"":""FASTEST""}","200","true","82.743","","1.432","","0.172","0.009","0.161","0.051","","",""
"2","schedule-krl","/schedules?station=Bogor&trainType=KRL&isWeekend=false&departureFrom=05%3A00&page=1&limit=30","","200","true","113.363","","1.767","","","","","","0.076","0.198",""
"3","station-list","/stations?page=3&limit=40","","200","true","101.525","","1.633","0.495","","","","","","",""
"3","station-search","/stations/search?q=cik&limit=20","","200","true","80.597","","1.359","0.373","","","","","","",""
"3","route-direct","/routes/plan","{""from"":""manggarai"",""to"":""bogor"",""passengerCount"":1,""preference"":""MIN_TRANSFERS""}","200","true","73.813","","2.999","","0.737","0.016","0.371","0.102","","",""
"3","route-interchange","/routes/plan","{""from"":""manggarai"",""to"":""rangkasbitung"",""passengerCount"":1,""preference"":""FASTEST""}","200","true","80.804","","1.901","","0.234","0.006","0.445","0.112","","",""
"3","route-walking","/routes/plan","{""from"":""cikoko"",""to"":""manggarai"",""passengerCount"":2,""preference"":""FASTEST""}","200","true","46.268","","1.729","","0.207","0.005","0.154","0.095","","",""
"3","schedule-krl","/schedules?station=Tanah%20Abang&trainType=KRL&isWeekend=false&departureTo=12%3A00&page=2&limit=20","","200","true","47.403","","1.958","","","","","","0.642","0.167",""
"4","station-list","/stations?page=1&limit=40","","200","true","84.454","","1.013","0.34","","","","","","",""
"4","station-search","/stations/search?q=mang&limit=20","","200","true","104.556","","2.382","0.397","","","","","","",""
"4","route-direct","/routes/plan","{""from"":""bogor"",""to"":""jakarta-kota"",""passengerCount"":1,""preference"":""FASTEST""}","200","true","114.163","","2.034","","0.181","0.007","0.329","0.095","","",""
"4","route-interchange","/routes/plan","{""from"":""cikini"",""to"":""bni-city"",""passengerCount"":1,""preference"":""FASTEST""}","200","true","81.504","","1.495","","0.127","0.003","0.226","0.046","","",""
"4","route-walking","/routes/plan","{""from"":""cikoko"",""to"":""tebet"",""passengerCount"":1,""preference"":""FASTEST""}","200","true","139.812","","1.498","","0.234","0.006","0.223","0.034","","",""
"4","schedule-krl","/schedules?station=Manggarai&trainType=KRL&isWeekend=false&page=1&limit=40","","200","true","120.024","","1.311","","","","","","0.171","0.177",""
"5","station-list","/stations?page=2&limit=40","","200","true","122.857","","10.257","0.46","","","","","","",""
"5","station-search","/stations/search?q=bog&limit=20","","200","true","113.044","","1.125","0.431","","","","","","",""
"5","route-direct","/routes/plan","{""from"":""depok"",""to"":""jayakarta"",""passengerCount"":2,""preference"":""FASTEST""}","200","true","47.644","","2.007","","0.241","0.006","0.371","0.086","","",""
"5","route-interchange","/routes/plan","{""from"":""bogor"",""to"":""tangerang"",""passengerCount"":2,""preference"":""MIN_TRANSFERS""}","200","true","476.33","","2.581","","0.519","0.008","0.556","0.181","","",""
"5","route-walking","/routes/plan","{""from"":""dukuh-atas"",""to"":""cawang"",""passengerCount"":1,""preference"":""FASTEST""}","200","true","45.902","","1.394","","0.196","0.003","0.201","0.049","","",""
"5","schedule-krl","/schedules?station=Bogor&trainType=KRL&isWeekend=false&departureFrom=05%3A00&page=1&limit=30","","200","true","42.978","","2.331","","","","","","0.065","1.231",""
