"round","scenario","target","parameters","status","ok","elapsedMs","error","handler","station_query","station_lookup","graph_load","dijkstra","route_format","schedule_catalog","schedule_query","schedule_format"
"1","station-list","/stations?page=1&limit=40","","200","true","158.447","","1.404","0.429","","","","","","",""
"1","station-search","/stations/search?q=mang&limit=20","","200","true","57.156","","1.385","0.533","","","","","","",""
"1","route-direct","/routes/plan","{""from"":""bogor"",""to"":""jakarta-kota"",""passengerCount"":1,""preference"":""FASTEST""}","200","true","71.111","","8.355","","0.202","0.01","0.325","0.094","","",""
"1","route-interchange","/routes/plan","{""from"":""cikini"",""to"":""bni-city"",""passengerCount"":1,""preference"":""FASTEST""}","200","true","58.445","","1.348","","0.112","0.003","0.129","0.035","","",""
"1","route-walking","/routes/plan","{""from"":""cikoko"",""to"":""tebet"",""passengerCount"":1,""preference"":""FASTEST""}","200","true","60.201","","1.656","","0.265","0.006","0.192","0.034","","",""
"1","schedule-krl","/schedules?station=Manggarai&trainType=KRL&isWeekend=false&page=1&limit=40","","200","true","177.224","","1.136","","","","","","0.241","0.117",""
"2","station-list","/stations?page=2&limit=40","","200","true","127.497","","1.055","0.317","","","","","","",""
"2","station-search","/stations/search?q=bog&limit=20","","200","true","91.692","","0.985","0.333","","","","","","",""
"2","route-direct","/routes/plan","{""from"":""depok"",""to"":""jayakarta"",""passengerCount"":2,""preference"":""FASTEST""}","200","true","120.311","","1.986","","0.202","0.004","0.341","0.092","","",""
"2","route-interchange","/routes/plan","{""from"":""bogor"",""to"":""tangerang"",""passengerCount"":2,""preference"":""MIN_TRANSFERS""}","200","true","75.302","","3.644","","0.245","0.004","0.447","0.152","","",""
"2","route-walking","/routes/plan","{""from"":""dukuh-atas"",""to"":""cawang"",""passengerCount"":1,""preference"":""FASTEST""}","200","true","154.802","","1.651","","0.244","0.003","0.195","0.056","","",""
"2","schedule-krl","/schedules?station=Bogor&trainType=KRL&isWeekend=false&departureFrom=05%3A00&page=1&limit=30","","200","true","125.567","","0.796","","","","","","0.047","0.05",""
"3","station-list","/stations?page=3&limit=40","","200","true","124.08","","0.992","0.371","","","","","","",""
"3","station-search","/stations/search?q=cik&limit=20","","200","true","114.963","","1.223","0.405","","","","","","",""
"3","route-direct","/routes/plan","{""from"":""manggarai"",""to"":""bogor"",""passengerCount"":1,""preference"":""MIN_TRANSFERS""}","200","true","111.53","","2.176","","0.308","0.004","0.309","0.133","","",""
